Acupoint_Code,Relation,Action_Target,,,,,,,,,,,,,,,,,,,,,,,
LU2,disperses,Chest Fullness,,,,,,,,,,,,,,,,,,,,,,,
LU2,stimulates,Lung Qi Descending,,,,,,,,,,,,,,,,,,,,,,,
LU2,stops,Cough,,,,,,,,,,,,,,,,,,,,,,,
LU3,clears,Lung Heat,,,,,,,,,,,,,,,,,,,,,,,
LU3,regulates,Lung Qi,,,,,,,,,,,,,,,,,,,,,,,
LU4,regulates,Qi,,,,,,,,,,,,,,,,,,,,,,,
LU4,regulates,Blood,,,,,,,,,,,,,,,,,,,,,,,
LU4,relieves,Pain,,,,,,,,,,,,,,,,,,,,,,,
LU5,clears,Lung Heat,,,,,,,,,,,,,,,,,,,,,,,
LU5,stimulates,Lung Qi Descending,,,,,,,,,,,,,,,,,,,,,,,
LU5,expels,Lung Phlegm,,,,,,,,,,,,,,,,,,,,,,,
LU5,benefits,Bladder,,,,,,,,,,,,,,,,,,,,,,,
LU5,relaxes,Sinews,,,,,,,,,,,,,,,,,,,,,,,
LU6,regulates,Lung Qi,,,,,,,,,,,,,,,,,,,,,,,
LU6,stimulates,Lung Qi Descending,,,,,,,,,,,,,,,,,,,,,,,
LU6,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
LU6,stops,Bleeding,,,,,,,,,,,,,,,,,,,,,,,
LU7,improves,Brain Circulation,,,,,,,,,,,,,,,,,,,,,,,
LU7,stimulates,Memory,,,,,,,,,,,,,,,,,,,,,,,
LU7,subsides,Cough,,,,,,,,,,,,,,,,,,,,,,,
LU8,diffuses,Lungs,,,,,,,,,,,,,,,,,,,,,,,
LU8,downbears,Qi,,,,,,,,,,,,,,,,,,,,,,,
LU8,courses,Wind,,,,,,,,,,,,,,,,,,,,,,,
LU8,resolves,Exterior,,,,,,,,,,,,,,,,,,,,,,,
LU9,resolves,Phlegm,,,,,,,,,,,,,,,,,,,,,,,
LU9,regulates,Lung Qi,,,,,,,,,,,,,,,,,,,,,,,
LU9,stops,Cough,,,,,,,,,,,,,,,,,,,,,,,
LU9,tonifies,Lung Qi,,,,,,,,,,,,,,,,,,,,,,,
LU9,tonifies,Lung Yin,,,,,,,,,,,,,,,,,,,,,,,
LU9,gathers,Qi,,,,,,,,,,,,,,,,,,,,,,,
LU9,promotes,Blood Circulation,,,,,,,,,,,,,,,,,,,,,,,
LU9,influences,Pulse,,,,,,,,,,,,,,,,,,,,,,,
LU9,clears,Lungs,,,,,,,,,,,,,,,,,,,,,,,
LU9,clears,Liver Heat,,,,,,,,,,,,,,,,,,,,,,,
LU10,clears,Lung Heat,,,,,,,,,,,,,,,,,,,,,,,
LU10,benefits,Throat,,,,,,,,,,,,,,,,,,,,,,,
LU11,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,
LU11,stimulates,Lung Qi Dispersing,,,,,,,,,,,,,,,,,,,,,,,
LU11,stimulates,Lung Qi Descending,,,,,,,,,,,,,,,,,,,,,,,
LU11,benefits,Throat,,,,,,,,,,,,,,,,,,,,,,,
LU11,opens,Orifices,,,,,,,,,,,,,,,,,,,,,,,
LU11,promotes,Resuscitation,,,,,,,,,,,,,,,,,,,,,,,
LI1,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
LI1,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,
LI1,benefits,Throat,,,,,,,,,,,,,,,,,,,,,,,
LI1,calms,Mind,,,,,,,,,,,,,,,,,,,,,,,
LI1,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,
LI1,scatters,Cold,,,,,,,,,,,,,,,,,,,,,,,
LI2,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
LI2,dissipates,Pathogenic Heat,,,,,,,,,,,,,,,,,,,,,,,
LI2,disinhibits,Throat,,,,,,,,,,,,,,,,,,,,,,,
LI3,dispels,Exterior Wind,,,,,,,,,,,,,,,,,,,,,,,
LI3,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
LI3,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,
LI3,benefits,Throat,,,,,,,,,,,,,,,,,,,,,,,
LI4,dispels,Exterior Wind,,,,,,,,,,,,,,,,,,,,,,,
LI4,releases,Exterior,,,,,,,,,,,,,,,,,,,,,,,
LI4,stimulates,Lung Dispersing Function,,,,,,,,,,,,,,,,,,,,,,,
LI4,stops,Pain,,,,,,,,,,,,,,,,,,,,,,,
LI4,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
LI4,tonifies,Qi,,,,,,,,,,,,,,,,,,,,,,,
LI4,consolidates,Exterior,,,,,,,,,,,,,,,,,,,,,,,
LI4,harmonizes,Ascending And Descending Functions,,,,,,,,,,,,,,,,,,,,,,,
LI5,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,
LI5,releases,Exterior,,,,,,,,,,,,,,,,,,,,,,,
LI5,benefits,Throat,,,,,,,,,,,,,,,,,,,,,,,
LI5,stops,Pain,,,,,,,,,,,,,,,,,,,,,,,
