Row_Number,Acupoint_Code,Relation,Action_Target,Indication,Pinyin_Name,Chinese_Name,SNOMED_code,Mesh_Term,Mesh_Id,NCT_Ids,PMIDs,Acupoint,Anatomy,UBERON code,SNOMED CT code,,,,,,,,,,,,
1,LU2,disperses,Chest Fullness,,,,,,,,,,,,,,,,,,,,,,,,
2,LU2,stimulates,Lung Qi Descending,,,,,,,,,,,,,,,,,,,,,,,,
3,LU2,stops,Cough,,,,,,,,,,,,,,,,,,,,,,,,
4,LU3,clears,Lung Heat,,,,,,,,,,,,,,,,,,,,,,,,
5,LU3,regulates,Lung Qi,,,,,,,,,,,,,,,,,,,,,,,,
6,LU4,regulates,Qi,,,,,,,,,,,,,,,,,,,,,,,,
7,LU4,regulates,Blood,,,,,,,,,,,,,,,,,,,,,,,,
8,LU4,relieves,Pain,,,,,,,,,,,,,,,,,,,,,,,,
9,LU5,clears,Lung Heat,,,,,,,,,,,,,,,,,,,,,,,,
10,LU5,stimulates,Lung Qi Descending,,,,,,,,,,,,,,,,,,,,,,,,
11,LU5,expels,Lung Phlegm,,,,,,,,,,,,,,,,,,,,,,,,
12,LU5,benefits,Bladder,,,,,,,,,,,,,,,,,,,,,,,,
13,LU5,relaxes,Sinews,,,,,,,,,,,,,,,,,,,,,,,,
14,LU6,regulates,Lung Qi,,,,,,,,,,,,,,,,,,,,,,,,
15,LU6,stimulates,Lung Qi Descending,,,,,,,,,,,,,,,,,,,,,,,,
16,LU6,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,,
17,LU6,stops,Bleeding,,,,,,,,,,,,,,,,,,,,,,,,
18,LU7,improves,Brain Circulation,,,,,,,,,,,,,,,,,,,,,,,,
19,LU7,stimulates,Memory,,,,,,,,,,,,,,,,,,,,,,,,
20,LU7,subsides,Cough,,,,,,,,,,,,,,,,,,,,,,,,
21,LU8,diffuses,Lungs,,,,,,,,,,,,,,,,,,,,,,,,
22,LU8,downbears,Qi,,,,,,,,,,,,,,,,,,,,,,,,
23,LU8,courses,Wind,,,,,,,,,,,,,,,,,,,,,,,,
24,LU8,resolves,Exterior,,,,,,,,,,,,,,,,,,,,,,,,
25,LU9,resolves,Phlegm,,,,,,,,,,,,,,,,,,,,,,,,
26,LU9,regulates,Lung Qi,,,,,,,,,,,,,,,,,,,,,,,,
27,LU9,stops,Cough,,,,,,,,,,,,,,,,,,,,,,,,
28,LU9,tonifies,Lung Qi,,,,,,,,,,,,,,,,,,,,,,,,
29,LU9,tonifies,Lung Yin,,,,,,,,,,,,,,,,,,,,,,,,
30,LU9,gathers,Qi,,,,,,,,,,,,,,,,,,,,,,,,
31,LU9,promotes,Blood Circulation,,,,,,,,,,,,,,,,,,,,,,,,
32,LU9,influences,Pulse,,,,,,,,,,,,,,,,,,,,,,,,
33,LU9,clears,Lungs,,,,,,,,,,,,,,,,,,,,,,,,
34,LU9,clears,Liver Heat,,,,,,,,,,,,,,,,,,,,,,,,
35,LU10,clears,Lung Heat,,,,,,,,,,,,,,,,,,,,,,,,
36,LU10,benefits,Throat,,,,,,,,,,,,,,,,,,,,,,,,
37,LU11,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,,
38,LU11,stimulates,Lung Qi Dispersing,,,,,,,,,,,,,,,,,,,,,,,,
39,LU11,stimulates,Lung Qi Descending,,,,,,,,,,,,,,,,,,,,,,,,
40,LU11,benefits,Throat,,,,,,,,,,,,,,,,,,,,,,,,
41,LU11,opens,Orifices,,,,,,,,,,,,,,,,,,,,,,,,
42,LU11,promotes,Resuscitation,,,,,,,,,,,,,,,,,,,,,,,,
43,LI1,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,,
44,LI1,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,,
45,LI1,benefits,Throat,,,,,,,,,,,,,,,,,,,,,,,,
46,LI1,calms,Mind,,,,,,,,,,,,,,,,,,,,,,,,
47,LI1,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,,
48,LI1,scatters,Cold,,,,,,,,,,,,,,,,,,,,,,,,
49,LI2,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,,
50,LI2,dissipates,Pathogenic Heat,,,,,,,,,,,,,,,,,,,,,,,,
51,LI2,disinhibits,Throat,,,,,,,,,,,,,,,,,,,,,,,,
52,LI3,dispels,Exterior Wind,,,,,,,,,,,,,,,,,,,,,,,,
53,LI3,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,,
54,LI3,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,,
55,LI3,benefits,Throat,,,,,,,,,,,,,,,,,,,,,,,,
56,LI4,dispels,Exterior Wind,,,,,,,,,,,,,,,,,,,,,,,,
57,LI4,releases,Exterior,,,,,,,,,,,,,,,,,,,,,,,,
58,LI4,stimulates,Lung Dispersing Function,,,,,,,,,,,,,,,,,,,,,,,,
59,LI4,stops,Pain,,,,,,,,,,,,,,,,,,,,,,,,
60,LI4,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,,
61,LI4,tonifies,Qi,,,,,,,,,,,,,,,,,,,,,,,,
62,LI4,consolidates,Exterior,,,,,,,,,,,,,,,,,,,,,,,,
63,LI4,harmonizes,Ascending And Descending Functions,,,,,,,,,,,,,,,,,,,,,,,,
64,LI5,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,,
65,LI5,releases,Exterior,,,,,,,,,,,,,,,,,,,,,,,,
66,LI5,benefits,Throat,,,,,,,,,,,,,,,,,,,,,,,,
67,LI5,stops,Pain,,,,,,,,,,,,,,,,,,,,,,,,
68,LI6,opens,Lung Water Passage,,,,,,,,,,,,,,,,,,,,,,,,
69,LI7,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,,
70,LI7,stops,Pain,,,,,,,,,,,,,,,,,,,,,,,,
71,LI7,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,,
72,LI7,benefits,Throat,,,,,,,,,,,,,,,,,,,,,,,,
73,LI8,dissipates,Wind,,,,,,,,,,,,,,,,,,,,,,,,
74,LI8,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,,
75,LI8,frees,Channels,,,,,,,,,,,,,,,,,,,,,,,,
76,LI8,relieves,Pain,,,,,,,,,,,,,,,,,,,,,,,,
77,LI9,courses,Channels,,,,,,,,,,,,,,,,,,,,,,,,
78,LI9,quickens,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,,
79,LI9,frees,Bowel Qi,,,,,,,,,,,,,,,,,,,,,,,,
80,LI10,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,,
81,LI10,tonifies,Qi,,,,,,,,,,,,,,,,,,,,,,,,
82,LI11,expels,Exterior Wind,,,,,,,,,,,,,,,,,,,,,,,,
83,LI11,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,,
84,LI11,cools,Blood,,,,,,,,,,,,,,,,,,,,,,,,
85,LI11,resolves,Damp,,,,,,,,,,,,,,,,,,,,,,,,
86,LI11,regulates,Nutritive Qi,,,,,,,,,,,,,,,,,,,,,,,,
87,LI11,regulates,Blood,,,,,,,,,,,,,,,,,,,,,,,,
88,LI11,benefits,Sinews,,,,,,,,,,,,,,,,,,,,,,,,
89,LI11,benefits,Joints,,,,,,,,,,,,,,,,,,,,,,,,
90,LI12,courses,Channels,,,,,,,,,,,,,,,,,,,,,,,,
