Acupoint_Code,Relation,Chinese_Name,SNOMED_code
LU1,haschinesename,中府,272746008
LU2,haschinesename,雲(云)門(门),272747004
LU3,haschinesename,天府,272748009
LU4,haschinesename,俠(侠)白,272749001
LU5,haschinesename,"尺澤(泽,沢)",272750001
LU6,haschinesename,孔最,272751002
LU7,haschinesename,列缺,272752009
LU8,haschinesename,"經(经,経)渠",272753004
LU9,haschinesename,太淵(渊),272754005
LU10,haschinesename,魚(鱼)際(际),272755006
LU11,haschinesename,少商,272756007
LI1,haschinesename,商陽(阳),272758008
LI2,haschinesename,二間(间),272759000
LI3,haschinesename,三間(间),272760005
LI4,haschinesename,合谷,272761009
LI5,haschinesename,陽(阳)谿(溪),272762002
LI6,haschinesename,偏歷(历),272763007
LI7,haschinesename,溫(温)溜,272764001
LI8,haschinesename,下廉,272765000
LI9,haschinesename,上廉,272766004
LI10,haschinesename,手三里,272767008
LI11,haschinesename,曲池,272768003
LI12,haschinesename,肘髎(髎),272769006
LI13,haschinesename,手五里,272770007
LI14,haschinesename,臂臑,272771006
LI15,haschinesename,肩髃(髃),272772004
LI16,haschinesename,巨骨(骨),272773009
LI17,haschinesename,天鼎,272774003
LI18,haschinesename,扶突,272775002
LI19,haschinesename,口禾髎(髎),272776001
LI20,haschinesename,迎(迎)香,272777005
ST1,haschinesename,承泣,272779008
ST2,haschinesename,四白,272780006
ST3,haschinesename,巨髎(髎),272781005
ST4,haschinesename,地倉(仓),272782003
ST5,haschinesename,大迎(迎),272783008
ST6,haschinesename,頰(颊)車(车),272784002
ST7,haschinesename,"下關(关,関)",272785001
ST8,haschinesename,頭(头)維(维),272786000
ST9,haschinesename,人迎(迎),272787009
ST10,haschinesename,水突,272788004
ST11,haschinesename,"氣(气,気)舍(舎)",272789007
ST12,haschinesename,缺盆,272790003
ST13,haschinesename,"氣(气,気)戶",272791004
ST14,haschinesename,庫(库)房,272792006
ST15,haschinesename,屋翳,272793001
ST16,haschinesename,膺窗(窓),272794007
ST17,haschinesename,(乳)中,272796009
ST18,haschinesename,(乳)根,272797000
ST19,haschinesename,不容,272798005
ST20,haschinesename,"承滿(满,満)",272799002
ST21,haschinesename,梁門(门),272800003
ST22,haschinesename,"關(关,関)門(门)",272801004
ST23,haschinesename,太乙,272802006
ST24,haschinesename,滑(滑)肉門(门),272803001
ST25,haschinesename,天樞(枢),272804007
ST26,haschinesename,外陵,272805008
ST27,haschinesename,大巨,272806009
ST28,haschinesename,水道(道),272807000
ST29,haschinesename,"歸(归,帰)來(来)",272808005
ST30,haschinesename,"氣(气,気)衝(冲)",272809002
ST31,haschinesename,"髀(髀)關(关,関)",272810007
ST32,haschinesename,伏兎(兔),272811006
ST33,haschinesename,陰(阴)市,272812004
ST34,haschinesename,梁丘,272813009
ST35,haschinesename,犢(犊)鼻,272814003
ST36,haschinesename,足三里,272815002
ST37,haschinesename,上巨虛(虚),272816001
ST38,haschinesename,條(条)口,272817005
ST39,haschinesename,下巨虛(虚),272818000
ST40,haschinesename,"豐(丰,豊)隆(隆)",272819008
ST41,haschinesename,解谿(溪),272820002
ST42,haschinesename,衝(冲)陽(阳),272821003
ST43,haschinesename,陷(陥)谷,272822005
ST44,haschinesename,内庭,272823000
ST45,haschinesename,厲(厉)兌(兑),272824006
SP1,haschinesename,"隱(隐,隠)白",272826008
SP2,haschinesename,大都(都),272827004
SP3,haschinesename,太白,272828009
SP4,haschinesename,公孫(孙),272829001
SP5,haschinesename,商丘,272830006
SP6,haschinesename,三陰(阴)交,272831005
SP7,haschinesename,漏谷,272832003
SP8,haschinesename,地機(机),272833008
SP9,haschinesename,陰(阴)陵泉,272834002
SP10,haschinesename,血海(海),272835001
SP11,haschinesename,箕門(门),272836000
SP12,haschinesename,衝(冲)門(门),272837009
SP13,haschinesename,府舍(舎),272838004
SP14,haschinesename,腹結(结),272839007
SP15,haschinesename,大橫,272840009
SP16,haschinesename,腹哀,272841008
SP17,haschinesename,食竇(窦),272842001
SP18,haschinesename,天谿(溪),272843006
SP19,haschinesename,"胸鄉(乡,郷)",272844000
SP20,haschinesename,"周榮(荣,栄)",272845004
SP21,haschinesename,大包(包),272846003
HT1,haschinesename,極(极)泉,272848002
HT2,haschinesename,"靑(青)靈(灵,霊)",272849005
HT3,haschinesename,少海(海),272850005
HT4,haschinesename,"靈(灵,霊)道(道)",272851009
HT5,haschinesename,通(通)里,272852002
HT6,haschinesename,陰(阴)郄,272853007
HT7,haschinesename,神(神)門(门),272854001
HT8,haschinesename,少府,272855000
HT9,haschinesename,少衝(冲),272856004
SI1,haschinesename,"少澤(泽,沢)",272858003
SI2,haschinesename,前谷,272859006
SI3,haschinesename,後(后)谿(溪),272860001
SI4,haschinesename,腕骨(骨),272861002
SI5,haschinesename,陽(阳)谷,272862009
SI6,haschinesename,養(养)老,272863004
SI7,haschinesename,支正,272864005
SI8,haschinesename,小海(海),272865006
SI9,haschinesename,肩貞(贞),272866007
SI10,haschinesename,臑兪(俞),272867003
SI11,haschinesename,天宗,272868008
SI12,haschinesename,秉風(风),272869000
SI13,haschinesename,曲垣,272870004
SI14,haschinesename,肩外兪(俞),272871000
SI15,haschinesename,肩中兪(俞),272872007
SI16,haschinesename,天窗(窓),272873002
SI17,haschinesename,天容,272874008
SI18,haschinesename,顴(颧)髎(髎),272875009
SI19,haschinesename,"聽(听,聴)宮(宫)",272876005
BL1,haschinesename,睛(睛)明,272878006
BL2,haschinesename,"攢(攒,攅)竹",272879003
BL3,haschinesename,眉衝(冲),272880000
BL4,haschinesename,曲差,272881001
BL5,haschinesename,"五處(处,処)",272882008
BL6,haschinesename,承光,272883003
BL7,haschinesename,通(通)天,272884009
BL8,haschinesename,絡(络)卻(却),272885005
BL9,haschinesename,玉枕,272886006
BL10,haschinesename,天柱,272887002
BL11,haschinesename,大杼,272888007
BL12,haschinesename,風(风)門(门),272889004
BL13,haschinesename,肺兪(俞),272890008
BL14,haschinesename,厥陰(阴)兪(俞),272891007
BL15,haschinesename,心兪(俞),272892000
BL16,haschinesename,督兪(俞),272893005
BL17,haschinesename,膈兪(俞),272894004
BL18,haschinesename,肝兪(俞),272895003
BL19,haschinesename,膽兪(俞),272897006
BL20,haschinesename,脾兪(俞),272898001
BL21,haschinesename,胃兪(俞),272899009
BL22,haschinesename,三焦兪(俞),272900004
BL23,haschinesename,腎兪(俞),272901000
BL24,haschinesename,"氣(气,気)海(海)兪(俞)",272902007
BL25,haschinesename,大腸兪(俞),272903002
BL26,haschinesename,"關(关,関)元兪(俞)",272904008
BL27,haschinesename,小腸(肠)兪(俞),272905009
BL28,haschinesename,膀胱兪(俞),272906005
BL29,haschinesename,中膂兪(俞),272907001
BL30,haschinesename,白環(环)兪(俞),272908006
BL31,haschinesename,上髎(髎),272909003
BL32,haschinesename,次髎(髎),272910008
BL33,haschinesename,中髎(髎),272911007
BL34,haschinesename,下髎(髎),272912000
BL35,haschinesename,會(会)陽(阳),272913005
BL36,haschinesename,承扶,
BL37,haschinesename,殷門(门),
BL38,haschinesename,(浮)郄,
BL39,haschinesename,委陽(阳),
BL40,haschinesename,委中,
BL41,haschinesename,附分,
BL42,haschinesename,魄户,
BL43,haschinesename,膏肓,
BL44,haschinesename,神(神)堂,
BL45,haschinesename,譩譆,
BL46,haschinesename,"膈關(关,関)",
BL47,haschinesename,魂門(门),
BL48,haschinesename,陽(阳)綱(纲),
BL49,haschinesename,意舍(舎),
BL50,haschinesename,胃倉(仓),
BL51,haschinesename,肓門(门),
BL52,haschinesename,志室,
BL53,haschinesename,胞(胞)肓,
BL54,haschinesename,"秩邊(边,辺)",
BL55,haschinesename,合陽(阳),272933009
BL56,haschinesename,承筋,272934003
BL57,haschinesename,承山,272935002
BL58,haschinesename,飛(飞)揚(扬),272936001
BL59,haschinesename,跗陽(阳),272937005
BL60,haschinesename,"崑(昆)崙(侖,仑)",272939008
BL61,haschinesename,僕(仆)參(参),272940005
BL62,haschinesename,申脈(脉),272941009
BL63,haschinesename,金門(门),272942002
BL64,haschinesename,京骨(骨),272943007
BL65,haschinesename,束骨(骨),272944001
BL66,haschinesename,足通(通)谷,
BL67,haschinesename,至陰(阴),
KI1,haschinesename,湧(涌)泉,272946004
KI2,haschinesename,然谷,272947008
KI3,haschinesename,太谿(溪),272948003
KI4,haschinesename,大鍾(钟),272949006
KI5,haschinesename,水泉,272950006
KI6,haschinesename,照海(海),272951005
KI7,haschinesename,復(复)溜,272952003
KI8,haschinesename,交信,272953008
KI9,haschinesename,築(筑)賓(宾),272954002
KI10,haschinesename,陰(阴)谷,272955001
KI11,haschinesename,橫骨(骨),272956000
KI12,haschinesename,大赫,272957009
KI13,haschinesename,"氣(气,気)穴",272958004
KI14,haschinesename,"四滿(满,満)",272959007
KI15,haschinesename,中注,272960002
KI16,haschinesename,肓兪(俞),272961003
KI17,haschinesename,商曲,272962005
KI18,haschinesename,"石關(关,関)",272963000
KI19,haschinesename,陰(阴)都(都),272964006
KI20,haschinesename,腹通(通)谷,272965007
KI21,haschinesename,幽門(门),272966008
KI22,haschinesename,步(歩)廊,272967004
KI23,haschinesename,神(神)封,272968009
KI24,haschinesename,"靈(灵,霊)墟(墟)",272969001
KI25,haschinesename,神(神)藏(蔵),272970000
KI26,haschinesename,彧中,272971001
KI27,haschinesename,兪(俞)府,272972008
PC1,haschinesename,天池,272974009
PC2,haschinesename,天泉,272975005
PC3,haschinesename,"曲澤(泽,沢)",272976006
PC4,haschinesename,郄門(门),272977002
PC5,haschinesename,間(间)使,272978007
PC6,haschinesename,"內關(关,関)",272979004
PC7,haschinesename,大陵,272980001
PC8,haschinesename,"勞(劳,労)宮(宫)",272981002
PC9,haschinesename,中衝(冲),272982009
TE1,haschinesename,"關(关,関)衝(冲)",272984005
TE2,haschinesename,液門(门),272985006
TE3,haschinesename,中渚(渚),272986007
TE4,haschinesename,陽(阳)池,272987003
TE5,haschinesename,"外關(关,関)",272988008
TE6,haschinesename,支溝(沟),272989000
TE7,haschinesename,會(会)宗,272990009
TE8,haschinesename,三陽(阳)絡(络),272991008
TE9,haschinesename,四瀆(渎),272992001
TE10,haschinesename,天井,272993006
TE11,haschinesename,淸(清)冷(令)淵(渊),272994000
TE12,haschinesename,消濼(泺),272995004
TE13,haschinesename,臑會(会),272996003
TE14,haschinesename,肩髎(髎),272997007
TE15,haschinesename,天髎(髎),272999005
TE16,haschinesename,天牖,273000006
TE17,haschinesename,翳風(风),273001005
TE18,haschinesename,瘈脈(脉),273002003
TE19,haschinesename,顱(颅)息,273003008
TE20,haschinesename,角孫(孙),273004002
TE21,haschinesename,耳門(门),273005001
TE22,haschinesename,耳和髎(髎),273006000
TE23,haschinesename,絲(丝)竹空,273007009
GB1,haschinesename,瞳子髎(髎),273009007
GB2,haschinesename,"聽(听,聴)會(会)",273010002
GB3,haschinesename,"上關(关,関)",273011003
GB4,haschinesename,頷(颔)厭(厌),273012005
GB5,haschinesename,懸(悬)顱(颅),273013000
GB6,haschinesename,懸(悬)釐(厘),273014006
GB7,haschinesename,曲鬢(鬓),273015007
GB8,haschinesename,率谷,273016008
GB9,haschinesename,天衝(冲),273017004
GB10,haschinesename,(浮)白,273018009
GB11,haschinesename,頭(头)竅(窍)陰(阴),
GB12,haschinesename,完骨(骨),273019001
GB13,haschinesename,本神(神),273020007
GB14,haschinesename,陽(阳)白,273021006
GB15,haschinesename,頭(头)臨(临)泣,273022004
GB16,haschinesename,目窗(窓),273023009
GB17,haschinesename,"正營(营,営)",273024003
GB18,haschinesename,"承靈(灵,霊)",273025002
GB19,haschinesename,"腦(脑,脳)空",273026001
GB20,haschinesename,風(风)池,273027005
GB21,haschinesename,肩井,273028000
GB22,haschinesename,淵(渊)液,273029008
GB23,haschinesename,輒(辄)筋,273030003
GB24,haschinesename,日月,273031004
GB25,haschinesename,京門(门),273032006
GB26,haschinesename,"帶(带,帯)脈(脉)",273033001
GB27,haschinesename,五樞(枢),273034007
GB28,haschinesename,維(维)道(道),273035008
GB29,haschinesename,居髎(髎),273036009
GB30,haschinesename,環(环)跳,273037000
GB31,haschinesename,風(风)市,273038005
GB32,haschinesename,中瀆(渎),273039002
GB33,haschinesename,"膝陽(阳)關(关,関)",273040000
GB34,haschinesename,陽(阳)陵泉,273041001
GB35,haschinesename,陽(阳)交,273042008
GB36,haschinesename,外丘(邱),273043003
GB37,haschinesename,光明,273044009
GB38,haschinesename,陽(阳)輔(辅),273045005
GB39,haschinesename,懸(悬)鍾(钟),273046006
GB40,haschinesename,丘(坵)墟(墟),273047002
GB41,haschinesename,足臨(临)泣,273048007
GB42,haschinesename,地五會(会),273049004
GB43,haschinesename,俠(侠)谿(溪),273050004
GB44,haschinesename,足竅(窍)陰(阴),273051000
LR1,haschinesename,大敦,273053002
LR2,haschinesename,行間(间),273054008
LR3,haschinesename,太衝(冲),273055009
LR4,haschinesename,中封,273056005
LR5,haschinesename,蠡溝(沟),273057001
LR6,haschinesename,中都(都),273058006
LR7,haschinesename,"膝關(关,関)",273059003
LR8,haschinesename,曲泉,273060008
LR9,haschinesename,陰(阴)包(包),273061007
LR10,haschinesename,足五里,273062000
LR11,haschinesename,陰(阴)廉,273063005
LR12,haschinesename,急脈(脉),273064004
LR13,haschinesename,章門(门),273065003
LR14,haschinesename,期門(门),273066002
GV1,haschinesename,長(长)強,273068001
GV2,haschinesename,腰兪(俞),273069009
GV3,haschinesename,"腰陽(阳)關(关,関)",273070005
GV4,haschinesename,命門(门),273071009
GV5,haschinesename,懸(悬)樞(枢),273072002
GV6,haschinesename,脊中,273073007
GV7,haschinesename,中樞(枢),273074001
GV8,haschinesename,筋縮(缩),273075000
GV9,haschinesename,至陽(阳),273076004
GV10,haschinesename,"靈(灵,霊)臺(台)",273077008
GV11,haschinesename,神(神)道(道),273078003
GV12,haschinesename,身柱,273079006
GV13,haschinesename,陶道(道),273080009
GV14,haschinesename,大椎,273081008
GV15,haschinesename,瘂(哑)門(门),273082001
GV16,haschinesename,風(风)府,273083006
GV17,haschinesename,"腦(脑,脳)戶",273084000
GV18,haschinesename,強間(间),273085004
GV19,haschinesename,後(后)頂(顶),273086003
GV20,haschinesename,百會(会),273087007
GV21,haschinesename,前頂(顶),273088002
GV22,haschinesename,顖(囟)會(会),273089005
GV23,haschinesename,上星,273090001
GV24,haschinesename,神(神)庭,273091002
GV25,haschinesename,素髎(髎),273092009
GV26,haschinesename,水溝(沟),273093004
GV27,haschinesename,兌(兑)端,273094005
GV28,haschinesename,齦(龈)交,273095006
CV1,haschinesename,會(会)陰(阴),273097003
CV2,haschinesename,曲骨(骨),273098008
CV3,haschinesename,中極(极),273100008
CV4,haschinesename,"關(关,関)元",273101007
CV5,haschinesename,石門(门),273102000
CV6,haschinesename,"氣(气,気)海(海)",273103005
CV7,haschinesename,陰(阴)交,273104004
CV8,haschinesename,神(神)闕(阙),273105003
CV9,haschinesename,水分,273106002
CV10,haschinesename,下脘,273107006
CV11,haschinesename,建里,273108001
CV12,haschinesename,中脘,273109009
CV13,haschinesename,上脘,273110004
CV14,haschinesename,巨闕(阙),273111000
CV15,haschinesename,鳩(鸠)尾,273112007
CV16,haschinesename,中庭,273113002
CV17,haschinesename,膻中,273114008
CV18,haschinesename,玉堂,273115009
CV19,haschinesename,紫宮(宫),273116005
CV20,haschinesename,華(华)蓋(盖),273117001
CV21,haschinesename,璇璣(玑),273118006
CV22,haschinesename,天突,273119003
CV23,haschinesename,廉泉,273120009
CV24,haschinesename,承漿(浆),273121008
