Acupoint_Code,Relation,Mesh_Term,Mesh_Id,NCT_freq,NCT_Ids
BL1,clinicaltrials,CONJUNCTIVAL DISEASES,D000003229,2,"NCT05552820, NCT04668131"
BL1,clinicaltrials,CONJUNCTIVITIS,D000003231,2,"NCT05552820, NCT04668131"
BL1,clinicaltrials,CORNEAL DISEASES,D000003316,2,"NCT05552820, NCT04668131"
BL1,clinicaltrials,DRY EYE SYNDROMES,D000015352,2,"NCT05552820, NCT04668131"
BL1,clinicaltrials,EYE DISEASES,D000005128,3,"NCT05552820, NCT04668131, NCT05247762"
BL1,clinicaltrials,KERATITIS,D000007634,2,"NCT05552820, NCT04668131"
BL1,clinicaltrials,KERATOCONJUNCTIVITIS,D000007637,2,"NCT05552820, NCT04668131"
BL1,clinicaltrials,KERATOCONJUNCTIVITIS SICCA,D000007638,2,"NCT05552820, NCT04668131"
BL1,clinicaltrials,LACRIMAL APPARATUS DISEASES,D000007766,2,"NCT05552820, NCT04668131"
BL10,clinicaltrials,BRAIN DISEASES,D000001927,2,"NCT02765581, NCT05310175"
BL10,clinicaltrials,CENTRAL NERVOUS SYSTEM DISEASES,D000002493,2,"NCT02765581, NCT05310175"
BL10,clinicaltrials,NECK INJURIES,D000019838,2,"NCT04660175, NCT01395511"
BL10,clinicaltrials,NECK PAIN,D000019547,4,"NCT04660175, NCT03558178, NCT03009071, NCT03859011"
BL10,clinicaltrials,NERVOUS SYSTEM DISEASES,D000009422,4,"NCT05357157, NCT02765581, NCT05310175, NCT05587075"
BL10,clinicaltrials,NEUROLOGIC MANIFESTATIONS,D000009461,5,"NCT05357157, NCT04660175, NCT03558178, NCT03009071, NCT03859011"
BL10,clinicaltrials,NEUROMUSCULAR DISEASES,D000009468,2,"NCT05357157, NCT05587075"
BL10,clinicaltrials,PAIN,D000010146,4,"NCT04660175, NCT03558178, NCT03009071, NCT03859011"
BL10,clinicaltrials,WHIPLASH INJURIES,D000014911,2,"NCT04660175, NCT01395511"
BL10,clinicaltrials,WOUNDS AND INJURIES,D000014947,2,"NCT04660175, NCT01395511"
BL11,clinicaltrials,MUSCULOSKELETAL DISEASES,D000009140,2,"NCT01619176, NCT05559619"
BL11,clinicaltrials,NECK PAIN,D000019547,2,"NCT06520462, NCT03859011"
BL11,clinicaltrials,NEUROLOGIC MANIFESTATIONS,D000009461,2,"NCT06520462, NCT03859011"
BL11,clinicaltrials,PAIN,D000010146,2,"NCT06520462, NCT03859011"
BL12,clinicaltrials,DISEASE ATTRIBUTES,D000020969,3,"NCT06393231, NCT03169504, NCT04374084"
BL12,clinicaltrials,INFECTIONS,D000007239,2,"NCT06393231, NCT04374084"
BL12,clinicaltrials,LUNG DISEASES,D000008171,4,"NCT01931696, NCT03169504, NCT04374084, NCT00142532"
BL12,clinicaltrials,"LUNG DISEASES, OBSTRUCTIVE",D000008173,2,"NCT01931696, NCT03169504"
BL12,clinicaltrials,PATHOLOGIC PROCESSES,D000010335,3,"NCT06393231, NCT03169504, NCT04374084"
BL12,clinicaltrials,RESPIRATORY TRACT DISEASES,D000012140,4,"NCT01931696, NCT03169504, NCT04374084, NCT00142532"
BL12,clinicaltrials,VIRUS DISEASES,D000014777,2,"NCT06393231, NCT04374084"
BL13,clinicaltrials,ASTHMA,D000001249,3,"NCT01931696, NCT02580942, NCT00917215"
