Acupoint_Code,Relation,Anatomy,UBERON_code,SNOMED_CT_code
BL1,0.1 B-cun,eye,UBERON_0000970,81745001
BL3,0.5 B-cun,anterior hairline,,
BL4,0.5 B-cun,anterior hairline,,
BL4,1.5 B-cun,anterior median line,,
BL5,1 B-cun,anterior hairline,,
BL5,1.5 B-cun,anterior median line,,
BL5,0.5 B-cun,BL4,,272881001
BL6,2.5 B-cun,anterior hairline,,
BL6,1.5 B-cun,anterior median line,,
BL6,1.5 B-cun,BL5,,272882008
BL6,2 B-cun,BL4,,272881001
BL7,4 B-cun,anterior hairline,,
BL7,1.5 B-cun,anterior median line,,
BL8,1.5 B-cun,gV20,,273087007
BL8,0.5 B-cun,gV20,,273087007
BL8,1.5 B-cun,anterior median line,,
BL8,5.5 B-cun,anterior hairline,,
BL9,1.3 B-cun,posterior median line,,
BL11,1.5 B-cun,posterior median line,,
BL12,1.5 B-cun,posterior median line,,
BL13,1.5 B-cun,posterior median line,,
BL14,1.5 B-cun,posterior median line,,
BL15,1.5 B-cun,posterior median line,,
BL16,1.5 B-cun,posterior median line,,
BL17,1.5 B-cun,posterior median line,,
BL18,1.5 B-cun,posterior median line,,
BL19,1.5 B-cun,posterior median line,,
BL20,1.5 B-cun,posterior median line,,
BL21,1.5 B-cun,posterior median line,,
BL22,1.5 B-cun,posterior median line,,
BL23,1.5 B-cun,posterior median line,,
BL24,1.5 B-cun,posterior median line,,
BL25,1.5 B-cun,posterior median line,,
BL26,1.5 B-cun,posterior median line,,
BL27,1.5 B-cun,median sacral crest,,
BL28,1.5 B-cun,median sacral crest,,
BL29,1.5 B-cun,median sacral crest,,
BL30,1.5 B-cun,median sacral crest,,
BL30,1.5 B-cun,sacral hiatus,,
BL35,0.5 B-cun,coccyx,UBERON_0001350,64688005
BL37,6 B-cun,gluteal fold,,89508007
BL38,1 B-cun,popliteal crease,,
BL38,1 B-cun,BL39,,
BL41,3 B-cun,posterior median line,,
BL42,3 B-cun,posterior median line,,
BL43,3 B-cun,posterior median line,,
BL44,3 B-cun,posterior median line,,
BL45,3 B-cun,posterior median line,,
BL46,3 B-cun,posterior median line,,
BL47,3 B-cun,posterior median line,,
BL48,3 B-cun,posterior median line,,
BL49,3 B-cun,posterior median line,,
BL50,3 B-cun,posterior median line,,
BL51,3 B-cun,posterior median line,,
BL52,3 B-cun,posterior median line,,
BL53,3 B-cun,median sacral crest,,
BL54,3 B-cun,sacral hiatus,,
BL54,3 B-cun,median sacral crest,,
BL55,2 B-cun,popliteal crease,,
BL55,2 B-cun,BL40,,
BL56,5 B-cun,popliteal crease,,
BL58,1 B-cun,BL57,,272935002
BL59,3 B-cun,BL60,,272939008
BL67,0.1 f-cun,toenail,,76578001
CV3,4 B-cun,umbilicus,UBERON_0007118,78220002
CV4,3 B-cun,umbilicus,UBERON_0007118,78220002
CV5,2 B-cun,umbilicus,UBERON_0007118,78220002
CV6,1.5 B-cun,umbilicus,UBERON_0007118,78220002
CV7,1 B-cun,umbilicus,UBERON_0007118,78220002
CV9,1 B-cun,umbilicus,UBERON_0007118,78220002
CV10,2 B-cun,umbilicus,UBERON_0007118,78220002
CV11,3 B-cun,umbilicus,UBERON_0007118,78220002
CV12,4 B-cun,umbilicus,UBERON_0007118,78220002
CV13,5 B-cun,umbilicus,UBERON_0007118,78220002
CV14,6 B-cun,umbilicus,UBERON_0007118,78220002
CV15,1 B-cun,xiphisternal junction,,
CV21,1 B-cun,suprasternal fossa,,
