Acupoint_Code,Relation,Anatomy,UBERON_code,SNOMED_CT_code
BL1,located_near,face,UBERON_0001456,89545001
BL1,located_near,eye,UBERON_0000970,81745001
BL1,located_near,orbit,UBERON_0004867,87716009
BL2,located_near,head,UBERON_0000033,69536005
BL1,located_near,eyebrow,UBERON_0010163,84238004
BL2,located_near,eyebrow,UBERON_0010163,84238004
BL1,located_near,frontal notch,,
BL3,located_near,head,UBERON_0000033,69536005
BL3,located_near,frontal notch,,
BL3,located_near,anterior hairline,,
BL4,located_near,head,UBERON_0000033,69536005
BL4,located_near,anterior hairline,,
BL4,located_near,anterior median line,,
BL5,located_near,head,UBERON_0000033,69536005
BL5,located_near,anterior hairline,,
BL5,located_near,anterior median line,,
BL6,located_near,head,UBERON_0000033,69536005
BL6,located_near,anterior hairline,,
BL6,located_near,anterior median line,,
BL7,located_near,head,UBERON_0000033,69536005
BL7,located_near,anterior hairline,,
BL7,located_near,anterior median line,,
BL8,located_near,head,UBERON_0000033,69536005
BL8,located_near,anterior hairline,,
BL8,located_near,anterior median line,,
BL9,located_near,head,UBERON_0000033,69536005
BL9,located_near,external occipital protuberance,UBERON_0013469,61918000
BL9,located_near,posterior median line,,
BL9,located_near,trapezius muscle,UBERON_0002380,31764008
BL10,located_near,neck,UBERON_0000974,45048000
BL10,located_near,second cervical vertebra (C2),,
BL10,located_near,trapezius muscle,UBERON_0002380,31764008
BL11,located_near,upper back region,,
BL11,located_near,posterior median line,,
BL12,located_near,upper back region,,
BL12,located_near,posterior median line,,
BL12,located_near,second thoracic vertebra (T2),,
BL13,located_near,upper back region,,
BL13,located_near,posterior median line,,
BL13,located_near,third thoracic vertebra (T3),,
BL14,located_near,upper back region,,
BL14,located_near,posterior median line,,
BL14,located_near,fourth thoracic vertebra (T4),,
BL15,located_near,upper back region,,
BL15,located_near,posterior median line,,
BL15,located_near,fifth thoracic vertebra (T5),,
BL16,located_near,sixth thoracic vertebra (T6),,
BL17,located_near,upper back region,,
BL17,located_near,posterior median line,,
BL17,located_near,seventh thoracic vertebra (T7),,
BL18,located_near,upper back region,,
BL18,located_near,posterior median line,,
BL18,located_near,ninth thoracic vertebra (T9),,
BL19,located_near,upper back region,,
BL19,located_near,posterior median line,,
BL19,located_near,tenth thoracic vertebra (T10),,
BL20,located_near,upper back region,,
BL20,located_near,posterior median line,,
BL20,located_near,11th thoracic vertebra (T11),,
BL21,located_near,upper back region,,
BL21,located_near,posterior median line,,
BL21,located_near,12th thoracic vertebra (T12),,
BL22,located_near,lumbar region,,52612000
BL22,located_near,posterior median line,,
BL22,located_near,first lumbar vertebra (L1),,
BL23,located_near,lumbar region,,52612000
BL23,located_near,posterior median line,,
BL23,located_near,second lumbar vertebra (L2),,
BL24,located_near,lumbar region,,52612000
BL24,located_near,posterior median line,,
BL24,located_near,third lumbar vertebra (L3),,
BL25,located_near,lumbar region,,52612000
BL25,located_near,posterior median line,,
BL25,located_near,fourth lumbar vertebra (L4),,
BL26,located_near,lumbar region,,52612000
BL26,located_near,fifth lumbar vertebra (L5),,
BL26,located_near,posterior median line,,
BL27,located_near,sacral region,UBERON_0005473,46452000
BL27,located_near,first posterior sacral foramen,,
BL27,located_near,median sacral crest,,
BL28,located_near,sacral region,UBERON_0005473,46452000
BL28,located_near,second posterior sacral foramen,,
BL28,located_near,median sacral crest,,
BL29,located_near,sacral region,UBERON_0005473,46452000
BL29,located_near,third posterior sacral foramen,,
BL29,located_near,median sacral crest,,
BL30,located_near,sacral region,UBERON_0005473,46452000
BL30,located_near,fourth posterior sacral foramen,,
BL30,located_near,median sacral crest,,
BL34,located_near,sacral hiatus,,
BL31,located_near,sacral region,UBERON_0005473,46452000
BL31,located_near,first posterior sacral foramen,,
BL32,located_near,sacral region,UBERON_0005473,46452000
BL32,located_near,second posterior sacral foramen,,
BL33,located_near,sacral region,UBERON_0005473,46452000
BL33,located_near,third posterior sacral foramen,,
BL32,located_near,third posterior sacral foramen,,
