Acupoint_Code,Relation,Acupoint,UBERON_code,SNOMED_CT_code
BL6,near_acupoint,BL8,,272885005
BL9,near_acupoint,gV17,,273084000
BL31,near_acupoint,BL32,,272910008
BL33,near_acupoint,BL32,,272910008
BL38,near_acupoint,BL39,,
BL41,near_acupoint,BL12,,272889004
BL42,near_acupoint,BL13,,272890008
BL42,near_acupoint,GV12,,273079006
BL43,near_acupoint,BL14,,272891007
BL44,near_acupoint,BL15,,272892000
BL44,near_acupoint,GV11,,273078003
BL45,near_acupoint,BL16,,272893005
BL45,near_acupoint,GV10,,273077008
BL 46,near_acupoint,BL17,,272894004
BL 46,near_acupoint,GV9,,273076004
BL47,near_acupoint,BL18,,272895003
BL47,near_acupoint,GV8,,273075000
BL48,near_acupoint,BL19,,272897006
BL48,near_acupoint,GV7,,273074001
BL49,near_acupoint,BL20,,272898001
BL49,near_acupoint,GV6,,273073007
BL50,near_acupoint,BL21,,272899009
BL51,near_acupoint,BL22,,272900004
BL51,near_acupoint,GV5,,273072002
BL52,near_acupoint,BL23,,272901000
BL52,near_acupoint,GV4,,273071009
BL53,near_acupoint,BL28,,272906005
BL53,near_acupoint,BL32,,272910008
BL58,near_acupoint,BL60,,272939008
BL58,near_acupoint,BL57,,272935002
BL59,near_acupoint,BL60,,272939008
BL61,near_acupoint,BL60,,272939008
BL 62,near_acupoint,KI6,,272951005
CV21,near_acupoint,CV22,,273119003
GB4,near_acupoint,St8,,
GB4,near_acupoint,gB7,,273015007
GB5,near_acupoint,St8,,
GB5,near_acupoint,gB7,,273015007
GB6,near_acupoint,St8,,
GB6,near_acupoint,gB7,,273015007
GB9,near_acupoint,GB8,,273016008
GB10,near_acupoint,gB9,,273017004
GB10,near_acupoint,gB12,,273019001
GB11,near_acupoint,gB9,,273017004
GB11,near_acupoint,gB12,,273019001
GB13,near_acupoint,gV24,,273091002
GB13,near_acupoint,St8,,
GB15,near_acupoint,gV24,,273091002
GB15,near_acupoint,St8,,
GB16,near_acupoint,GB15,,273022004
GB17,near_acupoint,GB15,,273022004
GB18,near_acupoint,gB17,,273024003
GB18,near_acupoint,BL7,,272884009
GB19,near_acupoint,gB20,,273027005
GB19,near_acupoint,GV17,,273084000
GB19,near_acupoint,BL9,,272886006
GB20,near_acupoint,GV16,,273083006
GB24,near_acupoint,Lr14,,
GB26,near_acupoint,LR13,,273065003
GB26,near_acupoint,CV8,,273105003
GB27,near_acupoint,GB26,,273033001
GB27,near_acupoint,CV4,,273101007
GB28,near_acupoint,gB27,,273034007
GB35,near_acupoint,gB36,,273043003
GB36,near_acupoint,GB35,,273042008
GV15,near_acupoint,GV16,,273083006
GV17,near_acupoint,BL9,,272886006
GV18,near_acupoint,gV17,,273084000
GV19,near_acupoint,gV20,,273087007
GV21,near_acupoint,gV20,,273087007
GV21,near_acupoint,gV22,,273089005
Ht2,near_acupoint,Ht1,,
Ht2,near_acupoint,Ht3,,
KI5,near_acupoint,KI3,,272948003
KI6,near_acupoint,BL62,,272941009
LI6,near_acupoint,LI5,,272762002
LI6,near_acupoint,LI11,,272768003
LI7,near_acupoint,LI5,,272762002
LI7,near_acupoint,LI11,,272768003
LI8,near_acupoint,LI5,,272762002
LI8,near_acupoint,LI11,,272768003
LI8,near_acupoint,LI9,,272766004
LI9,near_acupoint,LI5,,272762002
LI9,near_acupoint,LI11,,272768003
LI10,near_acupoint,LI5,,272762002
LI10,near_acupoint,LI11,,272768003
LI11,near_acupoint,LU5,,272750001
LI13,near_acupoint,LI11,,272768003
LI13,near_acupoint,LI15,,272772004
LI14,near_acupoint,LI11,,272768003
LR3,near_acupoint,Lr2,,
LR4,near_acupoint,SP5,,272830006
LR4,near_acupoint,St41,,
LR5,near_acupoint,KI9,,272954002
LR7,near_acupoint,SP9,,272834002
LR10,near_acupoint,St30,,
LR11,near_acupoint,St30,,
LR14,near_acupoint,St19,,
LU1,near_acupoint,LU2,,272747004
LU1,near_acupoint,ST14,,272792006
