Acupoint_Code,Relation,Anatomy,UBERON_code,SNOMED_CT_code
BL1,inner canthus of,eye,UBERON_0000970,81745001
BL1,superomedial parts of the inner canthus of,eye,UBERON_0000970,81745001
BL1,medial wall of,orbit,UBERON_0004867,87716009
BL2,medial end of,eyebrow,UBERON_0010163,84238004
BL9,superior border of,external occipital protuberance,UBERON_0013469,61918000
BL9,vertical line of the lateral border of,trapezius muscle,UBERON_0002380,31764008
BL9,horizontal line of the superior border of,external occipital protuberance,UBERON_0013469,61918000
BL10,posterior region of,neck,UBERON_0000974,45048000
BL10,superior border of the spinous process of,second cervical vertebra (C2),,
BL11,inferior border of the spinous process of,first thoracic vertebra (T1),,
BL12,inferior border of the spinous process of,second thoracic vertebra (T2),,
BL13,inferior border of the spinous process of,third thoracic vertebra (T3),,
BL14,inferior border of the spinous process of,fourth thoracic vertebra (T4),,
BL15,inferior border of the spinous process of,fifth thoracic vertebra (T5),,
BL16,inferior border of the spinous process of,sixth thoracic vertebra (T6),,
BL17,inferior angle of,scapula,UBERON_0006849,79601000
BL17,spinous process of,seventh thoracic vertebra,,62487009
BL17,inferior border of the spinous process of,seventh thoracic vertebra (T7),,
BL18,inferior border of the spinous process of,ninth thoracic vertebra (T9),,
BL19,inferior border of the spinous process of,tenth thoracic vertebra (T10),,
BL20,inferior border of the spinous process of,11th thoracic vertebra (T11),,
BL21,inferior border of the spinous process of,12th thoracic vertebra (T12),,
BL22,inferior border of the spinous process of,first lumbar vertebra (L1),,
BL23,inferior border of the spinous process of,second lumbar vertebra (L2),,
BL24,inferior border of the spinous process of,third lumbar vertebra (L3),,
BL25,inferior border of the spinous process of,fourth lumbar vertebra (L4),,
BL26,inferior border of the spinous process of,fifth lumbar vertebra (L5),,
BL32,the spinous process of,second sacral vertebra,,11808007
BL35,extremity of,coccyx,UBERON_0001350,64688005
BL36,midpoint of,gluteal fold,,89508007
BL37,posterior aspect of,thigh,,68367000
BL38,posterior aspect of,knee,UBERON_0001465,72696002
BL39,posterolateral aspect of,knee,UBERON_0001465,72696002
BL40,posterior aspect of,knee,UBERON_0001465,72696002
BL40,midpoint of,popliteal crease,,
BL41,inferior border of the spinous process of,second thoracic vertebra (T2),,
BL42,inferior border of the spinous process of,third thoracic vertebra (T3),,
BL43,inferior border of the spinous process of,fourth thoracic vertebra (T4),,
BL44,inferior border of the spinous process of,fifth thoracic vertebra (T5),,
BL45,inferior border of the spinous process of,sixth thoracic vertebra (T6),,
BL46,inferior border of the spinous process of,seventh thoracic vertebra (T7),,
BL47,inferior border of the spinous process of,ninth thoracic vertebra (T9),,
BL48,inferior border of the spinous process of,tenth thoracic vertebra (T10),,
BL49,inferior border of the spinous process of,11th thoracic vertebra (T11),,
BL50,inferior border of the spinous process of,12th thoracic vertebra (T12),,
BL51,inferior border of the spinous process of,first lumbar vertebra (L1),,
BL52,inferior border of the spinous process of,second lumbar vertebra (L2),,
BL55,posterior aspect of,leg,UBERON_0000978,30021000
BL55,lateral head and medial head of,gastrocnemius muscle,,35616000
BL56,posterior aspect of,leg,UBERON_0000978,30021000
BL56,two muscle bellies of,gastrocnemius muscle,,35616000
BL57,posterior aspect of,leg,UBERON_0000978,30021000
BL57,connecting point of,calcaneal tendon,UBERON_0003701,
BL57,two muscle bellies of,gastrocnemius muscle,,35616000
BL57,two heads of,gastrocnemius muscle,,35616000
BL57,muscle belly of,gastrocnemius muscle,,35616000
BL58,posterolateral aspect of,leg,UBERON_0000978,30021000
BL58,inferior border of the lateral head of,gastrocnemius muscle,,35616000
BL59,posterolateral aspect of,leg,UBERON_0000978,30021000
BL60,posterolateral aspect of,ankle,,344001
BL60,prominence of,lateral malleolus,,113225006
BL61,lateral aspect of,foot,,56459004
BL62,inferior border of,lateral malleolus,,113225006
BL62,lateral aspect of,foot,,56459004
BL62,prominence of,lateral malleolus,,113225006
BL63,dorsum of,foot,,56459004
BL63,anterior border of,lateral malleolus,,113225006
BL63,tuberosity of,fifth metatarsal bone,,301000
BL64,lateral aspect of,foot,,56459004
BL64,tuberosity of,fifth metatarsal bone,,301000
BL65,lateral aspect of,foot,,56459004
BL67,lateral corner of,toenail,,76578001
BL67,horizontal line of the base of,toenail,,76578001
BL67,intersection of the vertical line of the lateral side of,nail,UBERON_0001705,72651009
CV1,posterior border of,scrotum,UBERON_0001300,20233005
CV1,posterior commissure of,labium majoris,,
CV3,centre of,umbilicus,UBERON_0007118,78220002
CV4,centre of,umbilicus,UBERON_0007118,78220002
CV5,centre of,umbilicus,UBERON_0007118,78220002
CV6,centre of,umbilicus,UBERON_0007118,78220002
CV7,centre of,umbilicus,UBERON_0007118,78220002
CV8,centre of,umbilicus,UBERON_0007118,78220002
CV9,centre of,umbilicus,UBERON_0007118,78220002
CV10,centre of,umbilicus,UBERON_0007118,78220002
CV11,centre of,umbilicus,UBERON_0007118,78220002
CV12,centre of,umbilicus,UBERON_0007118,78220002
CV13,centre of,umbilicus,UBERON_0007118,78220002
CV14,centre of,umbilicus,UBERON_0007118,78220002
CV16,midpoint of,xiphisternal junction,,
CV22,anterior region of,neck,UBERON_0000974,45048000
CV22,centre of,suprasternal fossa,,
CV22,medial ends of,each clavicle,,
CV23,anterior region of,neck,UBERON_0000974,45048000
CV24,centre of,mentolabial sulcus,,45114004
GB1,outer canthus of,eye,UBERON_0000970,81745001
GB2,condylar process of,mandible,UBERON_0001684,91609006
GB3,midpoint of,zygomatic arch,UBERON_0002500,51204001
GB7,vertical line of the posterior border of,temple hairline,,
GB7,junction of,temple hairline,,
GB7,horizontal line of the apex of,auricle,,113327001
GB7,junction of,auricle,,113327001
GB9,posterior border of,auricular root,,
GB12,anterior region of,neck,UBERON_0000974,45048000
GB14,centre of,pupil,UBERON_0001771,35146001
GB15,centre of,pupil,UBERON_0001771,35146001
GB16,centre of,pupil,UBERON_0001771,35146001
GB17,centre of,pupil,UBERON_0001771,35146001
GB18,centre of,pupil,UBERON_0001771,35146001
GB19,superior border of,external occipital protuberance,UBERON_0013469,61918000
GB20,anterior region of,neck,UBERON_0000974,45048000
GB20,origins of,sternocleidomastoid,UBERON_0001128,181741009
GB21,posterior region of,neck,UBERON_0000974,45048000
GB21,spinous process of,seventh cervical vertebra (C7),,
GB21,lateral end of,acromion,UBERON_0002497,31934006
GB24,centre of,nipple,UBERON_0002030,265780004
GB24,intersection of,midclavicular line,,279013009
GB25,free extremity of,12th rib,,
GB25,inferior border of,costal arch,UBERON_0002225,24256007
GB26,free extremity of,11th rib,,
GB26,centre of,umbilicus,UBERON_0007118,78220002
GB26,inferior border of,costal arch,UBERON_0002225,24256007
GB27,centre of,umbilicus,UBERON_0007118,78220002
GB29,prominence of,greater trochanter,UBERON_0002503,30547004
GB30,prominence of,greater trochanter,UBERON_0002503,30547004
GB31,lateral aspect of,thigh,,68367000
GB31,tip of,middle finger,,65531009
GB32,lateral aspect of,thigh,,68367000
GB33,lateral aspect of,knee,UBERON_0001465,72696002
GB34,fibular aspect of,leg,UBERON_0000978,30021000
GB34,head of,fibula,UBERON_0001446,87342007
GB35,fibular aspect of,leg,UBERON_0000978,30021000
GB35,prominence of,lateral malleolus,,113225006
GB35,lateral end of,popliteal crease,,
GB36,fibular aspect of,leg,UBERON_0000978,30021000
GB36,prominence of,lateral malleolus,,113225006
GB36,lateral end of,popliteal crease,,
GB37,fibular aspect of,leg,UBERON_0000978,30021000
GB37,prominence of,lateral malleolus,,113225006
GB38,prominence of,lateral malleolus,,113225006
GB38,fibular aspect of,leg,UBERON_0000978,30021000
GB39,prominence of,lateral malleolus,,113225006
GB39,fibular aspect of,leg,UBERON_0000978,30021000
GB40,anterolateral aspect of,ankle,,344001
GB41,dorsum of,foot,,56459004
GB41,junction of the bases of,fourth and fifth metatarsal bones,,
GB42,dorsum of,foot,,56459004
GB43,dorsum of,foot,,56459004
GB44,lateral corner of,toenail,,76578001
GB44,intersection of,nail,UBERON_0001705,72651009
GB44,vertical line of the lateral side of,nail,UBERON_0001705,72651009
GB44,horizontal line of the base of,fourth toenail,,
GV1,tip of,coccyx,UBERON_0001350,64688005
GV1,tip of,anus,UBERON_0001245,53505006
GV3,spinous process of,fourth lumbar vertebra (L4),,
GV3,highest points of,iliac crests,,
GV3,midpoint of the highest points of,both iliac crests,,
GV4,spinous process of,second lumbar vertebra (L2),,
GV5,spinous process of,first lumbar vertebra (L1),,
GV6,spinous process of,11th thoracic vertebra (T11),,
GV7,spinous process of,tenth thoracic vertebra (T10),,
GV8,spinous process of,ninth thoracic vertebra (T9),,
GV9,spinous process of,seventh thoracic vertebra (T7),,
GV9,horizontal line of the inferior border of the inferior angle of,scapula,UBERON_0006849,79601000
GV10,spinous process of,sixth thoracic vertebra (T6),,
GV11,spinous process of,fifth thoracic vertebra (T5),,
GV12,spinous process of,third thoracic vertebra (T3),,
GV12,horizontal line of the medial end of the spine of,scapula,UBERON_0006849,79601000
GV13,spinous process of,first thoracic vertebra (T1),,
GV14,posterior region of,neck,UBERON_0000974,45048000
GV14,spinous process of,seventh cervical vertebra (C7),,
GV14,posterior aspect of,neck,UBERON_0000974,45048000
GV15,spinous process of,second cervical vertebra (C2),,
GV16,posterior region of,neck,UBERON_0000974,45048000
GV16,midpoint of,posterior hairline,,
GV16,midpoint of,occipital bone,UBERON_0001676,31640002
GV17,vertical line of,posterior median line,,
GV17,horizontal line of the superior border of,external occipital protuberance,UBERON_0013469,61918000
GV24,medial ends of,eyebrows,,
GV25,tip of,nose,UBERON_0000004,45206002
GV26,midpoint of,philtrum midline,,
GV26,junction of,philtrum midline,,
GV27,midpoint of the tubercle of,upper lip,UBERON_0001834,11681001
GV28,junction of the frenulum of,upper lip,UBERON_0001834,11681001
GV28,junction of the frenulum of,upper gum,,23114008
HT1,centre of,axillary fossa,,34797008
HT2,medial aspect of,arm,UBERON_0001460,40983000
HT3,medial epicondyle of,humerus,UBERON_0004250,85050009
HT3,anteromedial aspect of,elbow,UBERON_0001461,76248009
HT3,medial end of,cubital crease,,
HT4,anteromedial aspect of,forearm,,14975008
HT4,superior border of the head of,ulna,UBERON_0001424,23416004
HT4,radial side of the superior border of,pisiform bone,,
HT5,anteromedial aspect of,forearm,,14975008
HT5,root of the head of,ulna,UBERON_0001424,23416004
HT5,body of the head of,ulna,UBERON_0001424,23416004
HT5,base of the head of,ulna,UBERON_0001424,23416004
HT5,radial side of the proximal border of,pisiform bone,,
HT6,anteromedial aspect of,forearm,,14975008
HT6,distal border of the head of,ulna,UBERON_0001424,23416004
