Acupoint_Code,Relation,Pinyin_Name
LU1,haspinyinname,Zhongfu
LU2,haspinyinname,Yunmen
LU3,haspinyinname,Tianfu
LU4,haspinyinname,Xiabai
LU5,haspinyinname,Chize
LU6,haspinyinname,Kongzui
LU7,haspinyinname,Lieque
LU8,haspinyinname,Jingqu
LU9,haspinyinname,Taiyuan
LU10,haspinyinname,Yuji
LU11,haspinyinname,Shaoshang
LI1,haspinyinname,Shangyang
LI2,haspinyinname,Erjian
LI3,haspinyinname,Sanjian
LI4,haspinyinname,Hegu
LI5,haspinyinname,Yangxi
LI6,haspinyinname,Pianli
LI7,haspinyinname,Wenliu
LI8,haspinyinname,Xialian
LI9,haspinyinname,Shanglian
LI10,haspinyinname,Shousanli
LI11,haspinyinname,Quchi
LI12,haspinyinname,Zhouliao
LI13,haspinyinname,Shouwuli
LI14,haspinyinname,Binao
LI15,haspinyinname,Jianyu
LI16,haspinyinname,Jugu
LI17,haspinyinname,Tianding
LI18,haspinyinname,Futu
LI19,haspinyinname,Kouheliao
LI20,haspinyinname,Yingxiang
ST1,haspinyinname,Chengqi
ST2,haspinyinname,Sibai
ST3,haspinyinname,Juliao
ST4,haspinyinname,Dicang
ST5,haspinyinname,Daying
ST6,haspinyinname,Jiache
ST7,haspinyinname,Xiaguan
ST8,haspinyinname,Touwei
ST9,haspinyinname,Renying
ST10,haspinyinname,Shuitu
ST11,haspinyinname,Qishe
ST12,haspinyinname,Quepen
ST13,haspinyinname,Qihu
ST14,haspinyinname,Kufang
ST15,haspinyinname,Wuyi
ST16,haspinyinname,Yingchuang
ST17,haspinyinname,Ruzhong
ST18,haspinyinname,Rugen
ST19,haspinyinname,Burong
ST20,haspinyinname,Chengman
ST21,haspinyinname,Liangmen
ST22,haspinyinname,Guanmen
ST23,haspinyinname,Taiyi
ST24,haspinyinname,Huaroumen
ST25,haspinyinname,Tianshu
ST26,haspinyinname,Wailing
ST27,haspinyinname,Daju
ST28,haspinyinname,Shuidao
ST29,haspinyinname,Guilai
ST30,haspinyinname,Qichong
ST31,haspinyinname,Biguan
ST32,haspinyinname,Futu
ST33,haspinyinname,Yinshi
ST34,haspinyinname,Liangqiu
ST35,haspinyinname,Dubi
ST36,haspinyinname,Zusanli
ST37,haspinyinname,Shangjuxu
ST38,haspinyinname,Tiaokou
ST39,haspinyinname,Xiajuxu
ST40,haspinyinname,Fenglong
ST41,haspinyinname,Jiexi
ST42,haspinyinname,Chongyang
ST43,haspinyinname,Xiangu
ST44,haspinyinname,Neiting
ST45,haspinyinname,Lidui
SP1,haspinyinname,Yinbai
SP2,haspinyinname,Dadu
SP3,haspinyinname,Taibai
