Subtype,Frequency
clears,126
regulates,118
benefits,70
removes,69
tonifies,62
calms,55
resolves,54
stops,49
quickens,49
expels,48
strengthens,47
relieves,45
promotes,42
opens,39
frees,36
eliminates,34
courses,29
brightens,29
nourishes,28
disinhibits,27
subdues,27
stimulates,24
soothes,24
rectifies,23
dispels,22
dissipates,16
harmonizes,16
relaxes,14
invigorates,14
diffuses,13
cools,12
loosens,12
disperses,10
downbears,10
moves,10
suppresses,10
fortifies,9
quiets,8
drains,8
releases,7
warms,7
restores,7
stabilizes,5
pacifies,5
transforms,5
boosts,5
supplements,5
extinguishes,5
discharges,4
lifts,3
settles,3
gathers,2
rouses,2
roots,2
adjusts,2
stems,2
improves,1
subsides,1
influences,1
scatters,1
consolidates,1
raises,1
smooths,1
binds,1
brithens,1
prevents,1
ensures,1
reinforces,1
abducts,1
overcomes,1
reduces,1
balances,1
normalizes,1
diagnoses,1
treats,1
leashes,1
conducts,1
sharpens,1
rescues,1
returns,1
