Subtype,Frequency
centre of,53
inferior border of the spinous process of,30
prominence of,25
spinous process of,18
posterior aspect of,17
anterior aspect of,15
dorsum of,14
medial aspect of,13
intersection of,12
midpoint of,11
posterolateral aspect of,11
anterior region of,11
horizontal line of the base of,10
anterolateral aspect of,10
tendons of,10
lateral aspect of,9
anteromedial aspect of,9
posteromedial aspect of,9
medial border of,8
superior border of,7
base of,7
tip of,6
fibular aspect of,6
inferior border of,5
lateral end of,5
border of,5
tibial aspect of,5
angle of,5
posterior region of,4
tuberosity of,4
lateral corner of,4
junction of,4
radial corner of,4
curve of,4
lateral end of the base of,4
medial end of,3
posterior border of,3
free extremity of,3
vertical line of,3
radial side of,3
anterior and posterior borders of,3
apex of,3
proximal portion of,3
horizontal line of the superior border of,2
inferior angle of,2
two muscle bellies of,2
anterior border of,2
medial ends of,2
outer canthus of,2
condylar process of,2
head of,2
junction of the bases of,2
vertical line of the lateral side of,2
junction of the frenulum of,2
medial epicondyle of,2
radial side of the proximal border of,2
palm of,2
vertical line of the radial border of,2
depression of,2
lateral epicondyle of,2
greater tubercle of,2
spine of,2
centre of the medial border (surface) of,2
ulnar corner of,2
ulnar side of,2
midpoint of the spine of,2
horizontal line of the inferior border of,2
medial end of the base of,2
midpoint of the inferior border of,2
lateral border of,2
prominences of,2
inner canthus of,1
superomedial parts of the inner canthus of,1
medial wall of,1
vertical line of the lateral border of,1
superior border of the spinous process of,1
the spinous process of,1
extremity of,1
lateral head and medial head of,1
connecting point of,1
two heads of,1
muscle belly of,1
inferior border of the lateral head of,1
intersection of the vertical line of the lateral side of,1
posterior commissure of,1
vertical line of the posterior border of,1
horizontal line of the apex of,1
origins of,1
highest points of,1
midpoint of the highest points of,1
horizontal line of the inferior border of the inferior angle of,1
horizontal line of the medial end of the spine of,1
midpoint of the tubercle of,1
superior border of the head of,1
radial side of the superior border of,1
root of the head of,1
body of the head of,1
base of the head of,1
distal border of the head of,1
proximal border of,1
horizontal line of,1
sole of,1
deepest depression of,1
bases of,1
medial attachment of,1
anterior end of lateral border of,1
acromial end of,1
lateral margin of,1
midpoint of lateral border of the ala of,1
level of the inferior border of the ala of,1
medial condyle of,1
coracoid process of the,1
radial aspect of,1
long head and short head of,1
proximal extremity of,1
centre of the tip of,1
intersection of the vertical line of the radial side of,1
intersection of the vertical line of ulnar border of,1
ulnar end of the palmar metacarpophalangeal crease of,1
ulnar end of the distal transverse skin crease of,1
medial end of the spine of,1
vertical line of the medial extremity of the spine of,1
anterior border of the centre of,1
posterior border of the condylar process of,1
medial corner of,1
inferior border of the medial condyle of,1
bulge of,1
inferior border of the ala of,1
intersection of the vertical line of,1
horizontal line of the inferior border of the ala of,1
continuation of,1
bisector of the angle of,1
corner of,1
sternal end of,1
sternal and clavicular heads of,1
midpoint of the inferior crease of,1
centre of the front surface of,1
two tendons,1
joint of the base of,1
intersection of the vertical line of the ulnar side of,1
superior to the prominence of,1
superior angle of,1
inferior end of,1
